episode,phase,steps,total_waiting_time,vehicle_count,episode_throughput,episode_reward,avg_speed_kmh,avg_queue_length,reward_avg_speed,reward_emergency_penalty,reward_phase_switch,reward_queue_length,reward_throughput,reward_waiting_time
82,training,3611,140312.0,5513,11099,144.0557,4.82,0.48,83.4,-119.2259,-12.52,-1.0464,278.0,-84.552
83,training,3601,131716.0,5681,10990,179.1479,4.8,0.49,83.1,-87.5493,-11.85,-1.0542,277.0,-80.4987
84,training,3601,155671.0,5497,11097,126.8747,4.8,0.5,83.1,-133.4509,-12.15,-1.0818,277.0,-86.5427
85,training,3601,180359.0,5516,10996,103.3262,4.81,0.52,83.1,-153.5893,-12.04,-1.1178,277.0,-90.0267
86,training,3601,174359.0,5549,11017,106.6048,4.83,0.52,83.1,-148.5089,-11.98,-1.113,277.0,-91.8933
87,training,3601,137639.0,5448,10995,170.8274,4.8,0.52,83.1,-95.5039,-12.27,-1.1214,277.0,-80.3773
88,training,3601,174415.0,5481,10883,125.0218,4.79,0.55,83.1,-130.9798,-12.08,-1.1904,277.0,-90.828
89,training,3605,167165.0,5425,11086,123.102,4.83,0.49,83.4,-139.111,-11.86,-1.059,278.0,-86.268
90,training,3601,158259.0,5399,11034,137.2953,4.82,0.49,83.1,-123.7605,-11.78,-1.0656,277.0,-86.1987
91,training,3602,176863.0,5527,11032,130.8883,4.85,0.5,83.4,-132.5597,-11.18,-1.08,278.0,-85.692
92,training,3611,128563.0,5552,11064,159.7504,4.85,0.46,83.4,-110.4389,-10.83,-0.99,278.0,-79.3907
93,training,3608,147941.0,5613,10937,145.8651,4.84,0.48,83.4,-120.1795,-10.66,-1.0314,278.0,-83.664
94,training,3611,160399.0,5656,10893,140.644,4.82,0.5,83.4,-125.4918,-10.95,-1.0836,278.0,-83.2307
95,training,3611,185315.0,5409,11067,115.144,4.81,0.53,83.4,-141.901,-10.72,-1.155,278.0,-92.48
96,training,3611,141862.0,5540,11129,148.4111,4.84,0.49,83.4,-119.1378,-11.54,-1.0524,278.0,-81.2587
97,training,3601,179886.0,5272,11145,109.2284,4.8,0.51,83.1,-150.1097,-11.12,-1.0926,277.0,-88.5493
98,training,3608,172782.0,5568,11096,112.1659,4.82,0.49,83.4,-150.0586,-10.33,-1.0668,278.0,-87.7787
99,training,3611,145455.0,5578,11001,166.1433,4.82,0.49,83.4,-104.1005,-11.1,-1.0548,278.0,-79.0013
100,training,3608,136572.0,5512,11161,161.0137,4.8,0.49,83.4,-105.1685,-10.19,-1.0638,278.0,-83.964
101,training,3605,179661.0,5463,11130,126.2374,4.85,0.54,83.4,-137.1268,-11.28,-1.1652,278.0,-85.5907
102,training,3608,146948.0,5627,11035,152.0541,4.81,0.5,83.4,-112.7827,-11.44,-1.0752,278.0,-84.048
103,training,3611,183977.0,5521,11126,101.1638,4.81,0.52,83.4,-162.2968,-11.71,-1.1214,278.0,-85.108
104,training,3608,172853.0,5446,11090,143.7837,4.81,0.51,83.4,-119.4025,-10.56,-1.0938,278.0,-86.56
105,training,3601,172399.0,5634,10970,136.5398,4.82,0.51,83.1,-127.3698,-10.15,-1.095,277.0,-84.9453
106,training,3605,137265.0,5461,11003,162.6501,4.82,0.49,83.4,-107.4639,-10.12,-1.062,278.0,-80.104
107,training,3611,156788.0,5633,10961,129.7915,4.85,0.48,83.4,-134.7873,-10.34,-1.0452,278.0,-85.436
108,training,3601,215344.0,5503,11043,95.838,4.83,0.53,83.1,-161.6714,-10.92,-1.14,277.0,-90.5307
109,training,3601,130306.0,5530,10983,166.8019,4.84,0.47,83.1,-101.1036,-11.06,-1.0092,277.0,-80.1253
110,training,3608,172137.0,5523,11128,130.1337,4.83,0.49,83.4,-136.1938,-10.14,-1.0698,278.0,-83.8627
111,training,3608,169935.0,5456,11099,120.1954,4.83,0.53,83.4,-136.9486,-10.25,-1.1526,278.0,-92.8533
112,training,3609,177833.0,5521,11129,98.1258,4.89,0.49,83.7,-163.9299,-10.74,-1.059,279.0,-88.8453
113,training,3601,157741.0,5476,11032,138.9057,4.8,0.52,83.1,-120.6859,-10.87,-1.1238,277.0,-88.5147
114,training,3602,160783.0,5519,11028,126.5197,4.84,0.5,83.4,-138.0252,-9.88,-1.0818,278.0,-85.8933
115,training,3605,182236.0,5342,11111,116.2826,4.83,0.53,83.4,-147.3968,-10.02,-1.1406,278.0,-86.56
116,training,3601,187556.0,5612,10953,99.1588,4.82,0.51,83.1,-159.7501,-9.9,-1.1124,277.0,-90.1787
117,training,3608,143777.0,5532,11126,155.3019,4.85,0.47,83.4,-114.4553,-9.15,-1.0248,278.0,-81.468
118,training,3608,168407.0,5659,10983,115.4054,4.8,0.5,83.4,-148.294,-9.03,-1.0866,278.0,-87.584
119,training,3605,170432.0,5496,11075,120.9519,4.83,0.51,83.4,-142.8447,-8.56,-1.0968,278.0,-87.9467
120,training,3602,172143.0,5625,10913,127.5955,4.84,0.5,83.4,-140.6118,-8.09,-1.0854,278.0,-84.0173
121,training,3610,150617.0,5536,11088,130.0174,4.87,0.47,84.0,-138.8437,-7.66,-1.0176,280.0,-86.4613
122,training,3603,131053.0,5587,11029,168.8536,4.86,0.48,83.7,-101.3649,-7.78,-1.0482,279.0,-83.6533
123,training,3612,178182.0,5422,11191,116.9181,4.82,0.51,83.7,-149.1921,-8.13,-1.1064,279.0,-87.3533
124,training,3600,140432.0,5560,11080,161.2151,4.84,0.5,83.7,-109.6903,-7.69,-1.0752,279.0,-83.0293
125,training,3612,165523.0,5576,11048,144.2475,4.83,0.53,83.7,-122.8513,-8.46,-1.1532,279.0,-85.988
126,training,3606,145577.0,5622,11019,143.442,4.86,0.49,83.7,-126.7109,-8.33,-1.0638,279.0,-83.1533
