episode,phase,steps,total_waiting_time,vehicle_count,episode_throughput,episode_reward,avg_speed_kmh,avg_queue_length,reward_avg_speed,reward_emergency_penalty,reward_phase_switch,reward_queue_length,reward_throughput,reward_waiting_time
122,training,3607,171059.0,5538,12450,149.6022,5.4,0.55,93.0,-146.1297,-9.28,-1.1814,310.0,-96.8067
123,training,3601,157470.0,5585,12321,173.7626,5.4,0.53,93.0,-128.7175,-9.07,-1.1472,310.0,-90.3027
124,training,3608,155745.0,5602,12446,185.6493,5.45,0.54,94.2,-119.8021,-8.59,-1.1586,314.0,-93.0
125,training,3612,172624.0,5462,12528,160.0092,5.46,0.58,94.5,-140.9927,-8.92,-1.2474,315.0,-98.3307
126,training,3600,172022.0,5562,12264,173.6592,5.45,0.56,93.6,-130.8105,-8.53,-1.2096,312.0,-91.3907
127,training,3603,219812.0,5657,12147,126.6741,5.39,0.56,92.7,-169.2253,-9.47,-1.2066,309.0,-95.124
128,training,3607,157544.0,5569,12594,200.6727,5.55,0.56,95.7,-111.5872,-7.63,-1.2048,319.0,-93.6053
129,training,3611,177399.0,5592,12519,148.896,5.52,0.56,95.1,-155.9,-8.07,-1.218,317.0,-98.016
130,training,3610,201614.0,5583,12176,124.5581,5.35,0.58,93.0,-167.1905,-9.23,-1.2654,310.0,-100.756
131,training,3600,198882.0,5349,12838,161.4053,5.51,0.6,95.4,-143.8626,-8.2,-1.3068,318.0,-98.6253
132,training,3606,177596.0,5548,12542,165.5863,5.46,0.6,94.5,-135.2996,-8.3,-1.3008,315.0,-99.0133
133,training,3607,154255.0,5564,12448,171.4349,5.49,0.52,94.8,-136.6508,-8.54,-1.125,316.0,-93.0493
134,training,3610,215895.0,5382,12817,134.9809,5.53,0.6,95.7,-172.6398,-7.76,-1.302,319.0,-98.0173
135,training,3609,192481.0,5393,12869,141.1921,5.58,0.59,96.3,-164.399,-7.17,-1.2762,321.0,-103.2627
136,training,3612,198913.0,5530,12688,149.832,5.5,0.59,95.4,-153.262,-7.93,-1.284,318.0,-101.092
137,training,3602,195163.0,5400,12634,138.7428,5.49,0.62,95.1,-160.2305,-8.0,-1.344,317.0,-103.7827
138,training,3610,189921.0,5479,12800,166.131,5.56,0.55,95.7,-147.7023,-7.57,-1.182,319.0,-92.1147
139,training,3611,190416.0,5520,12626,146.5227,5.56,0.57,96.0,-157.9776,-7.4,-1.245,320.0,-102.8547
