episode,phase,steps,total_waiting_time,vehicle_count,episode_throughput,episode_reward,avg_speed_kmh,avg_queue_length,reward_avg_speed,reward_emergency_penalty,reward_phase_switch,reward_queue_length,reward_throughput,reward_waiting_time
71,training,3601,163347.0,5423,11052,115.8096,4.81,0.49,83.1,-144.0454,-15.33,-1.0536,277.0,-83.8613
72,training,3601,151014.0,5545,11046,140.3275,4.83,0.48,83.1,-122.5103,-15.24,-1.0302,277.0,-80.992
73,training,3601,188723.0,5542,11048,113.7703,4.82,0.52,83.1,-146.3281,-15.32,-1.1136,277.0,-83.568
74,training,3611,178468.0,5520,11008,101.8939,4.83,0.5,83.4,-155.6826,-15.46,-1.0782,278.0,-87.2853
75,training,3601,166442.0,5611,11033,135.9576,4.82,0.52,83.1,-123.7211,-15.09,-1.1286,277.0,-84.2027
76,training,3601,167221.0,5499,11085,112.901,4.82,0.51,83.1,-144.5076,-15.28,-1.0914,277.0,-86.32
77,training,3601,178564.0,5585,10969,106.4912,4.82,0.5,83.1,-149.3412,-14.6,-1.0716,277.0,-88.596
78,training,3601,194903.0,5325,11153,87.4186,4.83,0.53,83.1,-165.7778,-15.21,-1.143,277.0,-90.5507
79,training,3601,178010.0,5432,11069,80.8579,4.83,0.47,83.1,-176.2703,-14.96,-1.0158,277.0,-86.996
80,training,3601,174168.0,5485,11020,114.1137,4.84,0.51,83.1,-145.6812,-14.81,-1.1058,277.0,-84.3893
81,training,3601,170551.0,5518,10978,108.701,4.82,0.49,83.1,-147.0196,-14.89,-1.0494,277.0,-88.44
82,training,3611,180069.0,5502,11052,105.6351,4.8,0.53,83.4,-149.6694,-15.25,-1.1442,278.0,-89.7013
83,training,3611,196167.0,5514,10993,105.7644,4.84,0.51,83.4,-152.4258,-15.65,-1.0998,278.0,-86.46
84,training,3611,172016.0,5567,10974,108.6857,4.8,0.5,83.4,-147.5581,-15.39,-1.0836,278.0,-88.6827
85,training,3601,172961.0,5544,10995,98.0202,4.82,0.48,83.1,-155.8865,-14.81,-1.0446,277.0,-90.3387
86,training,3601,167006.0,5448,11067,138.011,4.83,0.5,83.1,-122.3512,-15.09,-1.0878,277.0,-83.56
87,training,3601,153698.0,5626,11051,138.1072,4.81,0.5,83.1,-120.8348,-15.13,-1.0854,277.0,-84.9427
88,training,3601,170267.0,5573,10977,119.5994,4.82,0.51,83.1,-137.5187,-15.24,-1.0926,277.0,-86.6493
89,training,3601,176824.0,5482,11059,107.2779,4.8,0.51,83.1,-147.1409,-15.65,-1.0992,277.0,-88.932
90,training,3601,174672.0,5474,10951,130.3454,4.84,0.5,83.1,-127.674,-14.99,-1.08,277.0,-86.0107
91,training,3601,172472.0,5543,11003,117.3091,4.84,0.5,83.1,-144.0751,-15.15,-1.0818,277.0,-82.484
92,training,3601,178826.0,5426,11058,103.4415,4.82,0.5,83.1,-154.4297,-15.38,-1.0728,277.0,-85.776
93,training,3601,182153.0,5437,11066,109.5483,4.82,0.53,83.1,-145.0773,-15.08,-1.1478,277.0,-89.2467
94,training,3601,143972.0,5466,11066,159.8183,4.83,0.52,83.1,-101.8216,-15.12,-1.1214,277.0,-82.2187
95,training,3601,140223.0,5618,10896,136.3799,4.85,0.43,83.1,-129.1785,-15.04,-0.9216,277.0,-78.58
96,training,3601,133632.0,5387,11119,160.6012,4.82,0.5,83.1,-105.0535,-15.69,-1.074,277.0,-77.6813
97,training,3601,142932.0,5537,11042,130.0305,4.84,0.47,83.1,-130.5806,-15.29,-1.0176,277.0,-83.1813
98,training,3601,184209.0,5519,11024,109.0854,4.81,0.53,83.1,-147.0095,-14.93,-1.1364,277.0,-87.9387
99,training,3601,145905.0,5539,11023,139.9765,4.84,0.48,83.1,-122.3909,-14.84,-1.0446,277.0,-81.848
100,training,3601,160382.0,5535,11085,124.6915,4.84,0.51,83.1,-133.063,-14.92,-1.0962,277.0,-86.3293
101,training,3601,143068.0,5523,11028,139.7128,4.84,0.46,83.1,-125.0865,-15.14,-0.9954,277.0,-79.1653
102,training,3601,163070.0,5507,11071,134.344,4.8,0.51,83.1,-126.4486,-15.37,-1.1094,277.0,-82.828
