ลำดับที่,ปีที่สำรวจ,จุดสำรวจ,ถนน,ทิศทาง,รายการสำรวจ, ปริมาณจราจร (คัน/วัน) , ปริมาณจราจร (PCU/ชั่วโมง) 
106,2564,MB 11,ทางหลวงแผ่นดินหมายเลข 33,ขาออก,ปริมาณจราจรเฉลี่ยทั้งวัน AADT ,"2,366","2,747"
107,2564,MB 11,ทางหลวงแผ่นดินหมายเลข 33,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน เช้า ,276,293
108,2564,MB 11,ทางหลวงแผ่นดินหมายเลข 33,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน กลางวัน ,294,307
109,2564,MB 11,ทางหลวงแผ่นดินหมายเลข 33,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน เย็น ,320,336
110,2564,MB 11,ทางหลวงแผ่นดินหมายเลข 33,ขาออก,ปริมาณจราจรชั่วโมงสูงสุด ,320,336
111,2564,MB 12,ทางหลวงแผ่นดินหมายเลข 304,ขาเข้า,ปริมาณจราจรเฉลี่ยทั้งวัน AADT ,"20,706","28,003"
112,2564,MB 12,ทางหลวงแผ่นดินหมายเลข 304,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน เช้า ,"1,212","1,733"
113,2564,MB 12,ทางหลวงแผ่นดินหมายเลข 304,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน กลางวัน ,"1,372","1,957"
114,2564,MB 12,ทางหลวงแผ่นดินหมายเลข 304,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน เย็น ,"1,620","2,089"
115,2564,MB 12,ทางหลวงแผ่นดินหมายเลข 304,ขาเข้า,ปริมาณจราจรชั่วโมงสูงสุด ,"1,620","2,089"
116,2564,MB 12,ทางหลวงแผ่นดินหมายเลข 304,ขาออก,ปริมาณจราจรเฉลี่ยทั้งวัน AADT ,"12,750","17,187"
117,2564,MB 12,ทางหลวงแผ่นดินหมายเลข 304,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน เช้า ,"1,405","1,818"
118,2564,MB 12,ทางหลวงแผ่นดินหมายเลข 304,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน กลางวัน ,"1,448","2,071"
119,2564,MB 12,ทางหลวงแผ่นดินหมายเลข 304,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน เย็น ,"1,465","1,879"
120,2564,MB 12,ทางหลวงแผ่นดินหมายเลข 304,ขาออก,ปริมาณจราจรชั่วโมงสูงสุด ,"1,465","2,071"
121,2564,MB 13,ทางหลวงแผ่นดินหมายเลข 3,ขาเข้า,ปริมาณจราจรเฉลี่ยทั้งวัน AADT ,"13,597","16,317"
122,2564,MB 13,ทางหลวงแผ่นดินหมายเลข 3,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน เช้า ,728,859
123,2564,MB 13,ทางหลวงแผ่นดินหมายเลข 3,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน กลางวัน ,966,"1,117"
124,2564,MB 13,ทางหลวงแผ่นดินหมายเลข 3,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน เย็น ,"1,051","1,156"
125,2564,MB 13,ทางหลวงแผ่นดินหมายเลข 3,ขาเข้า,ปริมาณจราจรชั่วโมงสูงสุด ,"1,069","1,220"
126,2564,MB 13,ทางหลวงแผ่นดินหมายเลข 3,ขาออก,ปริมาณจราจรเฉลี่ยทั้งวัน AADT ,"8,608","9,969"
127,2564,MB 13,ทางหลวงแผ่นดินหมายเลข 3,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน เช้า ,920,"1,060"
128,2564,MB 13,ทางหลวงแผ่นดินหมายเลข 3,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน กลางวัน ,984,"1,136"
129,2564,MB 13,ทางหลวงแผ่นดินหมายเลข 3,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน เย็น ,918,"1,007"
130,2564,MB 13,ทางหลวงแผ่นดินหมายเลข 3,ขาออก,ปริมาณจราจรชั่วโมงสูงสุด ,984,"1,148"
131,2564,MB 14,ทางหลวงแผ่นดินหมายเลข 4,ขาเข้า,ปริมาณจราจรเฉลี่ยทั้งวัน AADT ,"6,362","8,099"
132,2564,MB 14,ทางหลวงแผ่นดินหมายเลข 4,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน เช้า ,484,475
133,2564,MB 14,ทางหลวงแผ่นดินหมายเลข 4,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน กลางวัน ,451,501
134,2564,MB 14,ทางหลวงแผ่นดินหมายเลข 4,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน เย็น ,419,490
135,2564,MB 14,ทางหลวงแผ่นดินหมายเลข 4,ขาเข้า,ปริมาณจราจรชั่วโมงสูงสุด ,597,664
136,2564,MB 14,ทางหลวงแผ่นดินหมายเลข 4,ขาออก,ปริมาณจราจรเฉลี่ยทั้งวัน AADT ,"5,504","6,101"
137,2564,MB 14,ทางหลวงแผ่นดินหมายเลข 4,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน เช้า ,541,592
138,2564,MB 14,ทางหลวงแผ่นดินหมายเลข 4,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน กลางวัน ,675,698
139,2564,MB 14,ทางหลวงแผ่นดินหมายเลข 4,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน เย็น ,730,713
140,2564,MB 14,ทางหลวงแผ่นดินหมายเลข 4,ขาออก,ปริมาณจราจรชั่วโมงสูงสุด ,730,713
141,2564,MB 15,ทางหลวงแผ่นดินหมายเลข 41,ขาเข้า,ปริมาณจราจรเฉลี่ยทั้งวัน AADT ,"11,826","13,715"
142,2564,MB 15,ทางหลวงแผ่นดินหมายเลข 41,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน เช้า ,762,772
143,2564,MB 15,ทางหลวงแผ่นดินหมายเลข 41,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน กลางวัน ,916,993
144,2564,MB 15,ทางหลวงแผ่นดินหมายเลข 41,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน เย็น ,833,896
145,2564,MB 15,ทางหลวงแผ่นดินหมายเลข 41,ขาเข้า,ปริมาณจราจรชั่วโมงสูงสุด ,931,"1,013"
146,2564,MB 15,ทางหลวงแผ่นดินหมายเลข 41,ขาออก,ปริมาณจราจรเฉลี่ยทั้งวัน AADT ,"6,966","7,737"
147,2564,MB 15,ทางหลวงแผ่นดินหมายเลข 41,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน เช้า ,693,754
148,2564,MB 15,ทางหลวงแผ่นดินหมายเลข 41,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน กลางวัน ,916,962
149,2564,MB 15,ทางหลวงแผ่นดินหมายเลข 41,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน เย็น ,658,677
150,2564,MB 15,ทางหลวงแผ่นดินหมายเลข 41,ขาออก,ปริมาณจราจรชั่วโมงสูงสุด ,916,962
151,2564,MB 16,ทางหลวงแผ่นดินหมายเลข 4,ขาเข้า,ปริมาณจราจรเฉลี่ยทั้งวัน AADT ,"1,473","1,812"
152,2564,MB 16,ทางหลวงแผ่นดินหมายเลข 4,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน เช้า ,117,79
153,2564,MB 16,ทางหลวงแผ่นดินหมายเลข 4,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน กลางวัน ,135,145
154,2564,MB 16,ทางหลวงแผ่นดินหมายเลข 4,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน เย็น ,167,179
155,2564,MB 16,ทางหลวงแผ่นดินหมายเลข 4,ขาเข้า,ปริมาณจราจรชั่วโมงสูงสุด ,167,179
156,2564,MB 16,ทางหลวงแผ่นดินหมายเลข 4,ขาออก,ปริมาณจราจรเฉลี่ยทั้งวัน AADT ,"1,551","1,712"
157,2564,MB 16,ทางหลวงแผ่นดินหมายเลข 4,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน เช้า ,221,212
158,2564,MB 16,ทางหลวงแผ่นดินหมายเลข 4,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน กลางวัน ,195,191
159,2564,MB 16,ทางหลวงแผ่นดินหมายเลข 4,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน เย็น ,212,200
160,2564,MB 16,ทางหลวงแผ่นดินหมายเลข 4,ขาออก,ปริมาณจราจรชั่วโมงสูงสุด ,221,212
161,2564,MB 17,ทางหลวงแผ่นดินหมายเลข 41,ขาเข้า,ปริมาณจราจรเฉลี่ยทั้งวัน AADT ,"9,500","11,644"
162,2564,MB 17,ทางหลวงแผ่นดินหมายเลข 41,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน เช้า ,726,666
163,2564,MB 17,ทางหลวงแผ่นดินหมายเลข 41,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน กลางวัน ,698,807
164,2564,MB 17,ทางหลวงแผ่นดินหมายเลข 41,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน เย็น ,666,758
165,2564,MB 17,ทางหลวงแผ่นดินหมายเลข 41,ขาเข้า,ปริมาณจราจรชั่วโมงสูงสุด ,726,807
166,2564,MB 17,ทางหลวงแผ่นดินหมายเลข 41,ขาออก,ปริมาณจราจรเฉลี่ยทั้งวัน AADT ,"8,300","9,502"
167,2564,MB 17,ทางหลวงแผ่นดินหมายเลข 41,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน เช้า ,691,777
168,2564,MB 17,ทางหลวงแผ่นดินหมายเลข 41,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน กลางวัน ,969,"1,065"
169,2564,MB 17,ทางหลวงแผ่นดินหมายเลข 41,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน เย็น ,"1,187","1,197"
170,2564,MB 17,ทางหลวงแผ่นดินหมายเลข 41,ขาออก,ปริมาณจราจรชั่วโมงสูงสุด ,"1,187","1,197"
171,2564,MB 18,ทางหลวงแผ่นดินหมายเลข 4,ขาเข้า,ปริมาณจราจรเฉลี่ยทั้งวัน AADT ,"4,580","4,654"
172,2564,MB 18,ทางหลวงแผ่นดินหมายเลข 4,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน เช้า ,398,302
173,2564,MB 18,ทางหลวงแผ่นดินหมายเลข 4,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน กลางวัน ,548,471
